UBICACIÓN TECNICA,Codigo SAP,NOMBRE DEL EQUIPO
PSAI-AZ-EX-AE,108270.0,Agua rechazo 1
PSAI-AZ-EX-AE,109317.0,ANTES BBA AGUA RECHAZO 1
PSAI-AZ-EX-AE,108271.0,Agua rechazo 3
PSAI-AZ-EX-AE,109111.0,ANTES BBA AGUA RECHAZO 3
PSAI-AZ-EX-AE,109036.0,"RE0682, 1800 HP, RATIO 2.28"
PSAI-AZ-EX-AE,112806.0,Lubricación Picadora 2 TA
PSAI-AZ-EX-AE,114031.0,BOMBA LUB PICADORA 2 TA
PSAI-AZ-EX-AE,109037.0,Electroimán TA
PSAI-AZ-EX-AE,109052.0,ANTES REDUCTOR BAJA MOLINO 3TA
PSAI-AZ-EX-AE,109055.0,ANTES MOV.COND INTERMEDIO 4 TA
PSAI-AZ-EX-AE,109067.0,ANTES BOMBA 2 JUGO FILTRADO TA
PSAI-AZ-EX-AE,109078.0,ANTES BOMBA HID GRUA VOLTEO TB
PSAI-AZ-EX-AE,109084.0,ANTES MOV. CONDUCTOR CAÑA 2 TB
PSAI-AZ-EX-AE,109087.0,"RE0629, 1800HP, RATIO 2.30"
PSAI-AZ-EX-AE,112874.0,Lubricación Picadora #1 TA
PSAI-AZ-EX-AE,114053.0,BBA LUBRICACIÓN PICADORA 1TA
PSAI-AZ-EX-AE,109093.0,ANTES MOV.COND INTERMEDIO 5 TB
PSAI-AZ-EX-AE,109115.0,Tubería de agua caliente
PSAI-AZ-EX-AE,109140.0,BOMBA HIDRAÚLICA GRÚA TA
PSAI-AZ-EX-AE,109144.0,BOMBA HIDRAÚLICA GRÚA LATERAL
PSAI-AZ-EX-AE,109148.0,Lavado de rodillos de mesas TA
PSAI-AZ-EX-AE,109154.0,"RE0683, 1800 HP, RATIO 2.28"
PSAI-AZ-EX-AE,112808.0,Lubricación Picadora 3 TA
PSAI-AZ-EX-AE,114032.0,BOMBA LUB PICADORA 3 TA
PSAI-AZ-EX-AE,109170.0,ANTES MOV.COND INTERMEDIO 5 TA
PSAI-AZ-EX-AE,109177.0,ANTES MOV.COND INTERMEDIO 6 TA
PSAI-AZ-EX-AE,109183.0,ANTES BOMBA AGUA ASEPSIA AUX TA Y TB
PSAI-AZ-EX-AE,109185.0,ANTES BOMBA AGUA ASEPSIA 2 TA Y TB
PSAI-AZ-EX-AE,109186.0,ANTES BOMBA AGUA ASEPSIA 1 TA Y TB
PSAI-AZ-EX-AE,109194.0,ANTES BOMBA 1 JUGO FILTRADO TA
PSAI-AZ-EX-AE,109244.0,REDUCTOR DE BAJA M2 TB
PSAI-AZ-EX-AE,109251.0,REDUCTOR DE BAJA M3 TB
PSAI-AZ-EX-AE,109257.0,ANTES MOV.COND INTERMEDIO 4 TB
PSAI-AZ-EX-AE,109269.0,ANTES MOV.COND INTERMEDIO 6 TB
PSAI-AZ-EX-AE,109270.0,ANTES REDUCTOR DE BAJA MOL6 TB
PSAI-AZ-EX-AE,112895.0,ANTES REDUCTOR DE ALTA MOL6 TB
PSAI-AZ-EX-AE,112896.0,ANTES LUBRI AUX EJE ALTA M6 TB
PSAI-AZ-EX-AE,109271.0,Antes Acople Flexible Molino 6 TB
PSAI-AZ-EX-AE,109280.0,Electroimán TB
PSAI-AZ-EX-AE,109319.0,Tubería de agua caliente
PSAI-AZ-EX-AE,109339.0,ANTES MOV COND DE CAÑA 1 TB
PSAI-AZ-EX-AE,112445.0,ANTES MOV. CONDUCTOR CAÑA 2 TA
PSAI-AZ-EX-AE,112789.0,ANTES BOMBA LAVADO DE MESAS TA
PSAI-AZ-EX-AE,112820.0,ANTES REDUC DE ALTA MOLINO 4TA
PSAI-AZ-EX-AE,109166.0,ANTES RED DE BAJA MOLINO 4 TA
PSAI-AZ-EX-AE,114073.0,ANTES LUB.AUX RED ALTA M4TA
PSAI-AZ-EX-AE,112914.0,ANTES BBA LUB RED BAJA M4TA
PSAI-AZ-EX-AE,112916.0,ANTES LUB.AUX RED BAJA M4TA
PSAI-AZ-EX-AE,112827.0,"Hagglunds MB-1600, 8RPM"
PSAI-AZ-EX-AE,114087.0,ANTES BBA ASIST MAZA CAÑ M6TA
PSAI-AZ-EX-AE,112879.0,REDUCTOR DE ALTA MOLINO 2 TB
PSAI-AZ-EX-AE,112880.0,BBA LUBRIC AUX RED ALTA M2 TB
PSAI-AZ-EX-AE,112883.0,Antes Reductor de Alta Molino 3 TB
PSAI-AZ-EX-AE,112884.0,BBA LUBRI AUX EJE ALTA M3 TB
PSAI-AZ-EX-AE,112915.0,ANTES LUBR AUX EJE ALTA M3 TA
PSAI-AZ-EX-AE,120702.0,ANTES NIVELADOR 1 COND. 2 TA
PSAI-AZ-EX-AE,121644.0,ANTES MOV CONDUC AUXILIAR TB
PSAI-AZ-EX-AE,112863.0,ANTES BBA HIDRAÚL COND AUX TB
PSAI-AZ-EX-AE,122113.0,ANTES REDUCTOR ALIMENTADOR MESA 1 TA
PSAI-AZ-EX-AE,122136.0,ANTES REDUCTOR ALIMENTADOR MESA 2TA
PSAI-AZ-EX-AE,122137.0,Antes Alimentador 1 TA
PSAI-AZ-EX-AE,122139.0,Antes Alimentador 2 TA
PSAI-AZ-EX-AE,122142.0,ANTES REDUCTOR ALIMENTADOR MESA 2 TA
PSAI-AZ-EX-AE,123045.0,Sistema rodillos de limpieza mesa 1 TA
PSAI-AZ-EX-AE,123046.0,ANTES REDU RODILLO LIMPIEZ 1 MESA 1TA
PSAI-AZ-EX-AE,123048.0,ANTES REDUCTOR RODILLO LIMP 2 MESA 1 TA
PSAI-AZ-EX-AE,123050.0,ANTES REDUC RODILLO LIMPIEZ 3 MESA 1TA
PSAI-AZ-EX-AE,123052.0,Antes Rodillo de limpieza 1 mesa 1 TA
PSAI-AZ-EX-AE,123053.0,Antes Rodillo de limpieza 2 mesa 1 TA
